CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,09/18/2020 10:53:00 PM,20-046462,MURDER,08X,3400 TELEGRAPH AV,Oakland,CA,
PETTY THEFT,10/20/2020 10:00:00 AM,20-052854,THEFT,26Y,1300 61ST AV,Oakland,CA,
HOMICIDE,10/29/2020 11:49:00 PM,20-053480,MURDER,26Y,1100 62ND AV,Oakland,CA,
PETTY THEFT,01/01/2021 12:30:00 AM,20-000065,THEFT,30X,9600 D ST,Oakland,CA,
PETTY THEFT,12/01/2020 06:45:00 AM,20-058843,THEFT,09X,4500 GILBERT ST,Oakland,CA,
FORCIBLE RAPE,10/01/2020 12:00:00 AM,20-057065,ATTEMPTED RAPE,02Y,1600 11TH ST,Oakland,CA,
ROBBERY,11/29/2020 10:50:00 AM,20-058531,ROBBERY-FIREARM,24Y,2900 HIGH ST,Oakland,CA,
THREATS,12/01/2020 03:00:00 PM,20-058965,BATTERY,27Y,2500 61ST AV,Oakland,CA,
THREATS,12/09/2020 11:55:00 AM,20-060338,THREAT CRIME:INT:TERRORIZE,30Y,8000 MACARTHUR BLVD,Oakland,CA,
PETTY THEFT,12/06/2020 08:31:00 PM,20-059866,THEFT,01X,200 2ND ST,Oakland,CA,
STOLEN VEHICLE,12/04/2020 09:30:00 AM,20-060090,VEHICLE THEFT - AUTO,22Y,3800 MIDVALE AV,Oakland,CA,
PETTY THEFT,12/07/2020 09:00:00 PM,20-060124,THEFT,33X,1300 82ND AV,Oakland,CA,
PETTY THEFT,12/12/2020 01:30:00 PM,20-061047,THEFT,08X,00 GARLAND AV,Oakland,CA,
RECOVERED O/S STOLEN,12/28/2020 06:08:00 PM,20-063414,VEHICLE THEFT - AUTO,03Y,1300 JEFFERSON ST,Oakland,CA,
OTHER,12/22/2020 12:00:00 PM,20-063589,EXHIBIT FIREARM,08X,00 FAIRMOUNT AV,Oakland,CA,
STOLEN VEHICLE,12/25/2020 09:15:00 PM,20-063127,VEHICLE THEFT - AUTO,11X,6400 TELEGRAPH AV,Oakland,CA,
BURG - AUTO,11/16/2020 05:45:00 PM,20-919785,BURGLARY-AUTO,77X,23RD/ VALLEY,Oakland,CA,
ROBBERY,12/29/2020 08:59:00 PM,20-063609,ROBBERY-FIREARM,22Y,3500 35TH AV,Oakland,CA,
BURG - AUTO,12/20/2020 08:05:00 PM,20-921331,BURGLARY-AUTO,02Y,13TH ST & WOOD ST,Oakland,CA,
PETTY THEFT,12/15/2020 06:15:00 PM,20-920831,THEFT,14X,300 PARK VIEW TER,Oakland,CA,
MISDEMEANOR ASSAULT,01/05/2021 12:00:00 PM,21-000687,BATTERY,32X,1700 103RD AV,Oakland,CA,
OTHER,01/05/2021 01:22:00 PM,21-000842,POSSESS MARIJUANA FOR SALE,18Y,2100 E 28TH ST,Oakland,CA,
FELONY ASSAULT,12/01/2020 12:00:00 AM,21-000575,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30X,7600 HOLLY ST,Oakland,CA,
PETTY THEFT,01/14/2021 09:03:00 AM,21-002174,THEFT,07X,1600 32ND ST,Oakland,CA,
ROBBERY,01/10/2021 07:40:00 PM,21-001634,EXHIBIT FIREARM,24Y,2900 HIGH ST,Oakland,CA,
STOLEN VEHICLE,01/10/2021 02:00:00 AM,21-001809,VEHICLE THEFT - AUTO,17X,1800 9TH AV,Oakland,CA,
,01/12/2021 02:00:00 PM,21-001967,VEHICLE THEFT - AUTO,03X,1300 BROADWAY,Oakland,CA,
ROBBERY,01/13/2021 11:50:00 AM,21-002038,ROBBERY-FIREARM,27X,2400 55TH AV,Oakland,CA,
THREATS,01/16/2021 08:15:00 PM,21-002561,BATTERY,20X,3000 E 9TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,01/18/2021 06:30:00 PM,21-002824,BATTERY,20X,1500 27TH AV,Oakland,CA,
PETTY THEFT,12/24/2020 12:00:00 PM,21-003001,THEFT,09X,3500 RICHMOND BLVD,Oakland,CA,
BURG - AUTO,02/19/2021 06:00:00 PM,21-902310,BURGLARY-AUTO,01X,100 4TH ST,Oakland,CA,
STOLEN VEHICLE,02/07/2021 08:30:00 PM,21-006312,VEHICLE THEFT - AUTO,21Y,2500 FRUITVALE AV,Oakland,CA,
DOMESTIC VIOLENCE,02/09/2021 08:30:00 AM,21-006373,THEFT,30X,8000 PLYMOUTH ST,Oakland,CA,
,02/21/2021 11:01:00 AM,21-008570,ASSAULT,32X,106TH AVENUE AND DANTE AVENUE,Oakland,CA,
VANDALISM,01/17/2021 05:25:00 PM,21-900995,VANDALISM,14X,300 ADAMS ST,Oakland,CA,
,02/24/2021 06:25:00 PM,21-008915,VANDALISM,10X,1000 62ND ST,Oakland,CA,
ROBBERY,02/12/2021 03:50:00 AM,21-006854,ASSAULT WITH FIREARM ON PERSON,02X,1300 8TH ST,Oakland,CA,
,02/21/2021 01:00:00 PM,21-008949,THEFT,26X,4800 E 12TH ST,Oakland,CA,
,02/24/2021 05:00:00 PM,21-009089,SC STOLEN VEHICLE - AUTO,13X,200 CLIFTON ST,Oakland,CA,
BURG - RESIDENTIAL,02/05/2021 08:00:00 AM,21-006906,BURGLARY,03X,600 OAK ST,Oakland,CA,
PETTY THEFT,01/25/2021 04:15:00 PM,21-003884,THEFT,03X,300 8TH ST,Oakland,CA,
ROBBERY,02/15/2021 05:30:00 PM,21-007419,ROBBERY-FIREARM,03Y,500 12TH ST,Oakland,CA,
GRAND THEFT,01/30/2021 09:02:00 AM,21-004651,GRAND THEFT,16Y,1500 E 38TH ST,Oakland,CA,
ROBBERY,02/17/2021 09:00:00 PM,21-007786,ROBBERY-FIREARM,24X,2000 HIGH ST,Oakland,CA,
VANDALISM,01/31/2021 03:17:00 PM,21-004909,VANDALISM,04X,300 14TH ST,Oakland,CA,
STOLEN VEHICLE,12/14/2020 05:30:00 PM,20-061269,VEHICLE THEFT - AUTO,21Y,3200 FOOTHILL BLVD,Oakland,CA,
,02/24/2021 01:30:00 PM,21-902567,VANDALISM,,00,Oakland,CA,
ROBBERY,11/21/2020 11:10:00 AM,20-057273,BATTERY,03X,6TH ST & WEBSTER ST,Oakland,CA,
FELONY ASSAULT,12/02/2020 11:37:00 AM,20-059065,ASSAULT WITH FIREARM ON PERSON,26Y,900 75TH AV,Oakland,CA,
NARCOTICS,10/05/2020 03:34:00 PM,20-049317,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,26Y,1100 79TH AV,Oakland,CA,
GRAND THEFT,01/23/2021 06:00:00 PM,21-003778,VEHICLE THEFT - AUTO,23X,1600 FRUITVALE AV,Oakland,CA,
OTHER,12/15/2020 11:00:00 AM,20-921093,MAIL/ETC THEFT/ETC,29X,3800 DELMONT AV,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,12/16/2020 06:00:00 PM,21-000241,VEHICLE THEFT - AUTO,33X,1000 92ND AV,Oakland,CA,
FORGERY & COUNTERFEITING,01/12/2021 12:00:00 AM,21-002971,OBT CREDIT/ETC:OTHER'S ID,34X,9700 HOLLY ST,Oakland,CA,
EMBEZZLEMENT,11/06/2020 08:25:00 AM,21-000807,EMBEZZLE LEASED/RENTED VEHICLE,27Y,5300 INTERNATIONAL BLVD,Oakland,CA,
ROBBERY,02/09/2021 06:45:00 PM,21-006472,ROBBERY-KNIFE OR CUTTING INSTRUMENT,20X,23RD AV & E 15TH ST,Oakland,CA,
BURG - COMMERCIAL,02/14/2021 07:20:00 AM,21-007183,BURGLARY-FORCIBLE ENTRY,03X,900 JACKSON ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/06/2021 09:54:00 AM,21-005907,VEHICLE THEFT - AUTO,31Y,9600 MADDUX DR,Oakland,CA,
THREATS,12/15/2020 08:30:00 AM,20-061330,THEFT,32X,10100 INTERNATIONAL BLVD,Oakland,CA,
HOMICIDE,01/22/2021 06:30:00 PM,21-003442,SC UNEXPLAINED DEATH,05X,2100 WEST ST,Oakland,CA,
ROBBERY,12/19/2020 02:00:00 PM,20-062463,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,22Y,10100 SKYLINE BLVD,Oakland,CA,
VANDALISM,01/13/2021 06:25:00 PM,21-900570,VANDALISM,04X,100 GRAND AV,Oakland,CA,
BURG - COMMERCIAL,01/04/2021 02:00:00 AM,21-901201,BURGLARY-NO FORCE,20X,2600 E 12TH ST,Oakland,CA,
FORGERY & COUNTERFEITING,12/15/2020 11:35:00 AM,20-921179,THEFT BY USE OF ACCESS CARD,03Y,1300 BROADWAY,Oakland,CA,
STOLEN VEHICLE,12/01/2020 11:56:00 PM,20-058975,VEHICLE THEFT - AUTO,19X,1700 E 12TH ST,Oakland,CA,
ROBBERY,12/06/2020 08:40:00 PM,20-059873,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,33X,1100 88TH AV,Oakland,CA,
VANDALISM,12/17/2020 12:30:00 PM,20-920880,VANDALISM,25X,4500 MERRILL AV,Oakland,CA,
VANDALISM,12/03/2020 12:01:00 AM,20-059380,THEFT OF UTILITY SERVICES,24Y,2600 38TH AV,Oakland,CA,
PETTY THEFT,02/19/2021 11:00:00 AM,21-008172,THEFT,08X,3700 SHAFTER AV,Oakland,CA,
MISDEMEANOR ASSAULT,10/31/2008 03:00:00 PM,20-061716,BATTERY,27Y,2200 62ND AV,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,01/18/2021 04:00:00 AM,21-002858,VEHICLE THEFT - AUTO,34X,8300 PLYMOUTH ST,Oakland,CA,
VANDALISM,02/06/2021 04:00:00 AM,21-901786,VANDALISM,14Y,500 VALLE VISTA AV,Oakland,CA,
OTHER,12/16/2020 12:15:00 AM,20-061448,DISTURB THE PEACE,02Y,1700 MIDDLE HARBOR RD,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 08:15:00 AM,21-004631,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,04X,600 W GRAND AV,Oakland,CA,
STOLEN VEHICLE,01/06/2021 06:30:00 PM,21-001029,VEHICLE THEFT - AUTO,12X,4900 SHAFTER AV,Oakland,CA,
VANDALISM,02/17/2021 01:30:00 AM,21-007722,MALICIOUSLY DESTROY OTHER'S PROPERTY,31Y,00 HEGENBERGER RD,Oakland,CA,
ROBBERY,12/27/2020 06:36:00 PM,20-063272,ROBBERY-FIREARM,20X,2800 INTERNATIONAL BLVD,Oakland,CA,
,02/25/2021 09:45:00 PM,21-009076,BATTERY,03X,00 10TH ST,Oakland,CA,
FORGERY & COUNTERFEITING,11/12/2020 12:20:00 AM,20-919958,THEFT BY USE OF ACCESS CARD,31Y,8400 ENTERPRISE WY,Oakland,CA,
WEAPONS,12/06/2020 12:49:00 AM,20-059759,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,33X,1300 85TH AV,Oakland,CA,
,02/24/2021 01:06:00 PM,21-902579,FORGERY,,35TH AV/FOOTHIL FOOTHILL WAY,Oakland,CA,
PETTY THEFT,11/01/2020 12:15:00 AM,20-060500,THEFT,19X,600 INTERNATIONAL BLVD,Oakland,CA,
BURG - AUTO,11/27/2020 01:30:00 PM,20-919972,BURGLARY-AUTO,13Z,8400 SKYLINE BLVD,Oakland,CA,
STOLEN VEHICLE,12/17/2020 09:00:00 AM,20-062049,VEHICLE THEFT - AUTO,35Y,3600 MALCOLM AV,Oakland,CA,
BURG - AUTO,02/03/2021 04:10:00 AM,21-901607,BURGLARY-AUTO,10X,1000 55TH ST,Oakland,CA,
VANDALISM,01/29/2021 10:00:00 PM,21-902068,VANDALISM,16Y,1200 HAMPEL ST,Oakland,CA,
HOMICIDE,11/29/2020 08:42:00 AM,20-058514,SC UNEXPLAINED DEATH,25X,3700 HIGH ST,Oakland,CA,
VANDALISM,01/19/2021 08:30:00 PM,21-002969,VANDALISM,08X,2600 HARRISON ST,Oakland,CA,
FRAUD,11/14/2017 10:05:00 AM,21-901576,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,32Y,10800 JULIUS ST,Oakland,CA,
PETTY THEFT,11/30/2020 11:45:00 AM,20-920728,MAIL/ETC THEFT/ETC,12Y,5900 CHABOT RD,Oakland,CA,
HOMICIDE,01/20/2021 08:00:00 AM,21-003040,SC UNEXPLAINED DEATH,05X,1500 MARKET ST,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 01:09:00 AM,21-004569,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,800 ATHENS AV,Oakland,CA,
VANDALISM,12/10/2020 07:50:00 AM,20-920560,VANDALISM,77X,84TH AV,Oakland,CA,
RECOVERED O/S STOLEN,12/30/2020 10:59:00 PM,20-063770,VEHICLE THEFT - AUTO,32Y,MACARTHUR BLVD & TALBOT AV,Oakland,CA,
DOMESTIC VIOLENCE,12/08/2020 06:40:00 PM,20-060223,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,800 UNION ST,Oakland,CA,
FRAUD,12/20/2020 08:30:00 PM,20-921163,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16Y,700 GROSVENOR PL,Oakland,CA,
,02/27/2021 04:19:00 PM,21-009399,ROBBERY-OTHER DANGEROUS WEAPON,14Y,3200 LAKESHORE AV,Oakland,CA,
RECOVERED VEHICLE - OAKLAND STOLEN,12/01/2020 05:15:00 PM,20-059001,VEHICLE THEFT - AUTO,30X,7100 WELD ST,Oakland,CA,
,02/24/2021 07:05:00 PM,21-008893,MURDER:FIRST DEGREE,20X,2400 15TH ST,Oakland,CA,
STOLEN VEHICLE,01/30/2021 03:10:00 PM,21-004735,VEHICLE THEFT - AUTO,09X,4400 GILBERT ST,Oakland,CA,
EMBEZZLEMENT,10/20/2020 10:45:00 AM,20-059966,EMBEZZLE LEASED/RENTED VEHICLE,19X,00 EMBARCADERO COVE,Oakland,CA,
DOMESTIC VIOLENCE,12/14/2020 02:22:00 AM,20-061132,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,2300 INTERNATIONAL BLVD,Oakland,CA,
PETTY THEFT,12/27/2020 01:13:00 PM,21-001758,THEFT,27Y,2500 64TH AV,Oakland,CA,
VANDALISM,01/08/2021 03:15:00 PM,21-900468,VANDALISM,05Y,1400 PERALTA ST,Oakland,CA,
VANDALISM,02/07/2021 06:35:00 AM,21-901866,VANDALISM,12Y,5200 CORONADO AV,Oakland,CA,
STOLEN VEHICLE,12/22/2020 06:00:00 PM,20-063737,VEHICLE THEFT - AUTO,16Y,1900 MONTANA ST,Oakland,CA,
FELONY ASSAULT,01/11/2021 09:30:00 PM,21-002662,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,11X,600 56TH ST,Oakland,CA,
VANDALISM,01/21/2021 08:30:00 AM,21-901060,VANDALISM,17Y,3200 14TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/30/2020 02:56:00 PM,21-000083,DISTURB THE PEACE,23X,3400 ELMWOOD AV,Oakland,CA,
VANDALISM,01/15/2021 05:00:00 PM,21-900812,VANDALISM,04X,400 17TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/10/2021 05:36:00 PM,21-001608,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,83RD AV & INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,02/10/2021 08:00:00 PM,21-902211,VANDALISM,17X,1900 5TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/27/2020 07:33:00 PM,20-063280,BATTERY,30X,1400 79TH AV,Oakland,CA,
OTHER,12/19/2020 09:54:00 PM,20-921033,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,01X,500 WATER ST,Oakland,CA,
BURG - AUTO,01/21/2021 11:50:00 AM,21-901033,BURGLARY-AUTO,22X,2000 MACARTHUR BLVD,Oakland,CA,
BURG - AUTO,01/08/2021 04:30:00 AM,21-001164,BURGLARY-AUTO,20X,2800 E 16TH ST,Oakland,CA,
CURFEW & LOITERING,01/31/2021 10:30:00 AM,21-004852,TRESPASS:OCCUPY PROPERTY W/O CONSENT,25Y,5600 DENTON PL,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,02/01/2021 12:55:00 PM,21-005024,VEHICLE THEFT - AUTO,26Y,900 75TH AV,Oakland,CA,
OTHER SEX OFFENSES,01/05/2021 08:56:00 AM,21-000640,PROB VIOL:REAREST/REVOKE,05X,2000 CURTIS ST,Oakland,CA,
FELONY ASSAULT,01/12/2021 08:56:00 PM,21-001959,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02Y,800 CAMPBELL ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/15/2020 10:00:00 PM,20-061425,BATTERY,30Y,7700 NEY AV,Oakland,CA,
FORGERY & COUNTERFEITING,11/24/2020 04:45:00 PM,20-919820,FORGERY,14Y,3200 LAKESHORE AV,Oakland,CA,
FELONY ASSAULT,01/08/2021 01:34:00 AM,21-001115,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,6900 MORKEN ST,Oakland,CA,
BURG - RESIDENTIAL,12/04/2020 02:30:00 AM,20-059360,BURGLARY-NO FORCE,08X,3000 BROADWAY,Oakland,CA,
ROBBERY,01/03/2021 02:00:00 PM,21-000366,ROBBERY-FIREARM,26X,5400 COLISEUM WY,Oakland,CA,
BURG - AUTO,01/11/2021 02:00:00 PM,21-900436,BURGLARY-AUTO,27Y,5400 PRINCETON ST,Oakland,CA,
PETTY THEFT,12/09/2020 09:30:00 PM,20-060428,THEFT,22X,FRUITVALE AV & MACARTHUR BLVD,Oakland,CA,
DOMESTIC VIOLENCE,02/06/2021 08:52:00 PM,21-005943,INFLICT CRPL INJ SP/COHAB,04X,1400 JEFFERSON ST,Oakland,CA,
STOLEN VEHICLE,02/07/2021 07:45:00 AM,21-005992,VEHICLE THEFT - AUTO,19X,1800 EMBARCADERO,Oakland,CA,
,02/20/2021 10:45:00 PM,21-902430,BURGLARY-FORCIBLE ENTRY,27X,2100 HIGH ST,Oakland,CA,
STOLEN VEHICLE,02/04/2021 07:00:00 AM,21-005600,VEHICLE THEFT - AUTO,34X,9000 CHERRY ST,Oakland,CA,
MISDEMEANOR ASSAULT,11/30/2020 08:30:00 AM,20-058673,BATTERY,30X,1500 69TH AV,Oakland,CA,
PETTY THEFT,12/21/2020 11:10:00 PM,20-920996,MAIL/ETC THEFT/ETC,13Y,300 CALDECOTT LN,Oakland,CA,
FORGERY & COUNTERFEITING,01/16/2021 02:10:00 PM,21-901931,MAKE/PASS FICTITIOUS CHECK,27X,4300 INTERNATIONAL BLVD,Oakland,CA,
OTHER,02/09/2021 09:39:00 PM,21-006493,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,14Y,600 RAND AVE,Oakland,CA,
BURG - COMMERCIAL,12/17/2020 12:57:00 AM,20-061605,BURGLARY-FORCIBLE ENTRY,31X,8400 EDGEWATER DR,Oakland,CA,
DISORDERLY CONDUCT,12/08/2020 11:00:00 PM,20-060255,DISTURB THE PEACE,21Y,2100 34TH AV,Oakland,CA,
VANDALISM,01/08/2021 03:35:00 PM,21-900286,VANDALISM,22Y,JOAQUIN MILLER RD & SKYLINE BLVD,Oakland,CA,
BURG - AUTO,12/05/2020 04:04:00 PM,20-920304,BURGLARY-AUTO,77X,WEBSTER ST,Oakland,CA,
FELONY ASSAULT,10/23/2020 09:00:00 PM,20-052729,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,32Y,10400 FOOTHILL BLVD,Oakland,CA,
PETTY THEFT,04/01/2020 05:00:00 PM,21-007520,THEFT,21Y,2300 FRUITVALE AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/14/2021 10:50:00 PM,21-002300,ASSAULT WITH FIREARM ON PERSON,22Y,2800 MACARTHUR BLVD,Oakland,CA,
WEAPONS,02/05/2021 04:17:00 PM,21-005769,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31Y,8400 SAN LEANDRO ST,Oakland,CA,
PETTY THEFT,01/10/2021 12:27:00 PM,21-001561,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,19X,400 23RD AV,Oakland,CA,
STOLEN VEHICLE,02/03/2021 11:00:00 PM,21-005602,VEHICLE THEFT - AUTO,21Y,2800 E 22ND ST,Oakland,CA,
THREATS,12/18/2020 08:38:00 AM,20-061817,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,13Z,6000 ASPINWALL RD,Oakland,CA,
RECOVERED O/S STOLEN,01/28/2021 11:58:00 PM,21-004393,VEHICLE THEFT - AUTO,26X,5000 COLISEUM WY,Oakland,CA,
NARCOTICS,01/31/2021 04:24:00 PM,21-004902,POSSESS/ETC BURGLARY TOOLS,04X,16TH ST & JEFFERSON ST,Oakland,CA,
DISORDERLY CONDUCT,12/05/2020 01:42:00 PM,20-059678,FIGHT/CHALLENGE IN PUBLIC PLACE,24Y,4000 FULLINGTON ST,Oakland,CA,
NARCOTICS,02/21/2021 12:17:00 AM,21-008264,CARRY CONCEALED WEAPON IN VEHICLE,21X,E 20TH ST & 23RD AV,Oakland,CA,
,02/26/2021 03:50:00 PM,21-009331,BURGLARY-AUTO,25X,4100 MOUNTAIN VIEW AV,Oakland,CA,
OTHER,03/09/2020 12:00:00 AM,20-059622,VIOLATION CUSTODY DECREE,30Y,2600 73RD AV,Oakland,CA,
OTHER,12/10/2020 06:30:00 PM,20-060602,SELL/ETC LIQUOR TO MINOR,32Y,10500 FOOTHILL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,12/10/2020 10:05:00 PM,20-060617,BATTERY,30X,2000 80TH AV,Oakland,CA,
MISSING,01/21/2021 11:43:00 AM,21-003223,DEPRIVE RIGHT OF CUSTODY/VISITATION,29X,6200 BANCROFT AV,Oakland,CA,
BURG - AUTO,12/15/2020 03:30:00 PM,20-920744,BURGLARY-AUTO,04X,600 22ND ST,Oakland,CA,
BRANDISHING,12/23/2020 10:56:00 PM,20-062618,EXHIBIT FIREARM,06X,700 27TH ST,Oakland,CA,
BURG - RESIDENTIAL,11/24/2020 08:15:00 PM,20-919827,BURGLARY-FORCIBLE ENTRY,13Z,100 PINE HILLS LN,Oakland,CA,
BURG - AUTO,12/09/2020 03:00:00 AM,20-920563,BURGLARY-AUTO,13Z,2800 BURTON DR,Oakland,CA,
BURG - AUTO,02/08/2021 08:30:00 AM,21-006166,EXHIBIT FIREARM,08X,200 27TH ST,Oakland,CA,
NARCOTICS,12/20/2020 03:40:00 PM,20-062228,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",30X,7200 BANCROFT AV,Oakland,CA,
PETTY THEFT,02/18/2021 02:00:00 PM,21-007992,THEFT,24X,1900 38TH AV,Oakland,CA,
FELONY ASSAULT,11/28/2020 03:30:00 PM,20-058419,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,2700 77TH AV,Oakland,CA,
FELONY ASSAULT,12/31/2020 01:11:00 PM,20-063837,BATTERY,23X,4200 INTERNATIONAL BLVD,Oakland,CA,
ROBBERY,01/03/2021 01:17:00 AM,21-000300,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,70TH AV & INTERNATIONAL BLVD,Oakland,CA,
BURG - AUTO,12/11/2020 01:00:00 AM,20-920577,BURGLARY-AUTO,33X,900 90TH AV,Oakland,CA,
STOLEN VEHICLE,01/31/2021 09:00:00 PM,21-006415,VEHICLE THEFT - AUTO,27Y,52ND AV & WENTWORTH AV,Oakland,CA,
STOLEN VEHICLE,12/11/2020 10:38:00 AM,20-060705,VEHICLE THEFT - AUTO,23X,900 38TH AV,Oakland,CA,
,02/24/2021 06:00:00 PM,21-008925,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,500 E 11TH STREET,Oakland,CA,
PROSTITUTION,10/15/2020 10:05:00 PM,20-050975,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 17TH AV,Oakland,CA,
BURG - AUTO,12/09/2020 09:00:00 AM,20-060691,BURGLARY-AUTO,13Z,2800 BURTON DR,Oakland,CA,
GRAND THEFT,01/31/2021 05:15:00 PM,21-901727,GRAND THEFT,07X,2800 HANNAH ST,Oakland,CA,
DOMESTIC VIOLENCE,12/21/2020 04:45:00 PM,20-062446,ELDER/DEP ADULT CRUELTY,04X,1500 LAKESIDE DR,Oakland,CA,
STOLEN VEHICLE,12/13/2020 10:00:00 PM,20-061165,VEHICLE THEFT - AUTO,32Y,2200 106TH AV,Oakland,CA,
BURG - AUTO,12/04/2020 09:25:00 AM,20-920293,BURGLARY-AUTO,25X,4000 MACARTHUR BLVD,Oakland,CA,
VANDALISM,01/07/2021 11:30:00 AM,21-900253,VANDALISM,77X,JOAQUIN MILLER RD,Oakland,CA,
HOMICIDE,01/05/2021 02:52:00 PM,21-000713,SC UNEXPLAINED DEATH,29X,6600 MOKELUMNE AV,Oakland,CA,
CURFEW & LOITERING,12/14/2020 01:26:00 PM,20-061209,TRESPASS:OCCUPY PROPERTY W/O CONSENT,24X,4200 FOOTHILL BLVD,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,12/09/2020 06:51:00 PM,20-060409,VEHICLE THEFT - AUTO,26X,1200 48TH AV,Oakland,CA,
THREATS,01/21/2021 03:13:00 AM,21-003164,EXHIBIT FIREARM,21X,1700 24TH AV,Oakland,CA,
BURG - AUTO,01/14/2021 12:45:00 PM,21-900611,BURGLARY-AUTO,31Y,EDGEWATER DR & HEGENBERGER RD,Oakland,CA,
BURG - AUTO,12/07/2020 01:15:00 PM,20-920399,BURGLARY-AUTO,13Z,6400 WESTOVER DR,Oakland,CA,
THREATS,12/13/2020 01:00:00 AM,20-061024,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,28X,3400 PIERSON ST,Oakland,CA,
PETTY THEFT,12/17/2020 06:00:00 PM,20-921053,THEFT,17X,400 E 17TH ST,Oakland,CA,
VANDALISM,02/14/2021 03:40:00 AM,21-902175,VANDALISM,21Y,RUTHERFORD ST & E 22ND ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/16/2021 12:56:00 PM,21-007532,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,09X,200 41ST ST,Oakland,CA,
RECOVERED O/S STOLEN,02/10/2021 12:55:00 AM,21-006513,VEHICLE THEFT - OTHER VEHICLES,27Y,5700 INTERNATIONAL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,01/21/2021 04:30:00 PM,21-003314,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,07X,3100 ADELINE ST,Oakland,CA,
FRAUD,01/07/2021 09:33:00 AM,21-000990,WITH INTENT TO DEFRAUD ACQUIRE ID OF PERS DEPLOYED OUT OF STATE (AMENDED TO:COMMIT MAIL THEFT),02X,1300 7TH ST,Oakland,CA,
DOMESTIC VIOLENCE,02/02/2021 11:46:00 AM,21-005185,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,32Y,9800 STEARNS AV,Oakland,CA,
BURG - COMMERCIAL,01/23/2021 01:11:00 AM,21-003486,VANDALISM,03X,200 11TH ST,Oakland,CA,
FELONY ASSAULT,01/01/2021 12:00:00 AM,21-000340,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30Y,3300 PARTRIDGE AV,Oakland,CA,
BURG - RESIDENTIAL,11/28/2020 03:00:00 AM,20-059819,BURGLARY-FORCIBLE ENTRY,30X,7800 HOLLY ST,Oakland,CA,
PETTY THEFT,01/08/2021 11:00:00 PM,21-001372,PETTY THEFT:$50-,22X,2700 CARMEL ST,Oakland,CA,
