CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,12/31/2020 10:00:00 PM,21-900051,VANDALISM,06X,800 37TH ST,Oakland,CA,
FELONY ASSAULT,01/21/2021 03:14:00 PM,21-003255,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,02X,1100 10TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/31/2021 03:34:00 AM,21-004816,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,1600 39TH AV,Oakland,CA,
HOMICIDE,02/07/2021 03:08:00 PM,21-006042,SC UNEXPLAINED DEATH,21X,1900 26TH AV,Oakland,CA,
,02/27/2021 07:00:00 PM,21-009443,ROBBERY-FIREARM,26X,5400 BLOCK OF SAN LEANDRO ST,Oakland,CA,
BURG - AUTO,11/22/2020 11:59:00 AM,20-057424,BURGLARY-AUTO,04X,500 16TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/29/2021 01:16:00 AM,21-004536,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,19X,1100 EMBARCADERO,Oakland,CA,
POSSESSION - STOLEN PROPERTY,12/08/2020 02:13:00 AM,20-060085,RECEIVE/ETC KNOWN STOLEN PROPERTY,23X,1400 34TH AV,Oakland,CA,
FELONY ASSAULT,01/17/2021 12:00:00 PM,21-002632,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,1400 77TH AV,Oakland,CA,
,02/25/2021 09:32:00 AM,21-008968,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2600 73RD AV,Oakland,CA,
,02/21/2021 01:43:00 PM,21-008334,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10X,STANFORD AV. AND MARKET ST.,Oakland,CA,
STOLEN VEHICLE,12/29/2020 02:00:00 AM,20-063473,VEHICLE THEFT - AUTO,17X,800 E 17TH ST,Oakland,CA,
FELONY ASSAULT,12/04/2020 12:00:00 AM,20-059359,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32Y,2300 100TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/15/2021 10:23:00 PM,21-002443,BATTERY,35X,8700 HILLSIDE ST,Oakland,CA,
BURG - AUTO,01/24/2021 07:00:00 AM,21-901212,BURGLARY-AUTO,19X,1100 EMBARCADERO,Oakland,CA,
PETTY THEFT,02/18/2021 10:00:00 PM,21-008030,THEFT,13X,5200 CLAREWOOD DR,Oakland,CA,
PETTY THEFT,10/10/2020 12:00:00 AM,21-003251,THEFT:PERSONAL PROPERTY,31Y,8300 EDES AV,Oakland,CA,
ROBBERY,01/23/2021 08:46:00 AM,21-003512,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1600 BRUSH ST,Oakland,CA,
STOLEN VEHICLE,01/10/2021 03:52:00 AM,21-001716,POSS STOLEN VEH/VES/ETC,31X,700 66TH AV,Oakland,CA,
WEAPONS,01/10/2021 05:32:00 AM,21-001531,NOT REGISTERED OWNER OF WEAPON,26X,1300 54TH AV,Oakland,CA,
,02/21/2021 01:10:00 PM,21-902522,VANDALISM,,WOODMIMSTER JOAQUIN MILLER RO,Oakland,CA,
,02/23/2021 02:30:00 AM,21-008725,VEHICLE THEFT - AUTO,25X,3700 WISCONSIN ST,Oakland,CA,
TOWED VEHICLE,12/07/2020 07:37:00 AM,20-059927,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,29X,64TH AV PL & MACARTHUR BLVD,Oakland,CA,
DOMESTIC VIOLENCE,02/09/2021 08:30:00 AM,21-006373,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,8000 PLYMOUTH ST,Oakland,CA,
PETTY THEFT,12/18/2020 10:40:00 AM,20-061861,THEFT,08X,3800 SHAFTER AV,Oakland,CA,
STOLEN VEHICLE,01/01/2021 12:30:00 AM,21-000065,VEHICLE THEFT - AUTO,33X,9600 D ST,Oakland,CA,
FELONY ASSAULT,02/01/2021 06:00:00 PM,21-005075,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,08X,2400 TELEGRAPH AV,Oakland,CA,
ROBBERY,01/09/2021 02:04:00 PM,21-001428,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,8400 EDES AV,Oakland,CA,
DOMESTIC VIOLENCE,11/18/2020 10:20:00 PM,20-056878,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,1700 82ND AV,Oakland,CA,
,02/28/2021 06:37:00 AM,21-009472,BATTERY,33X,1200 94TH AVE.,Oakland,CA,
PETTY THEFT,09/16/2020 09:00:00 AM,20-920809,MAIL/ETC THEFT/ETC,25Y,6400 BLUE ROCK CT,Oakland,CA,
VANDALISM,01/16/2021 06:00:00 AM,21-900947,VANDALISM,08X,3000 BROADWAY,Oakland,CA,
DISORDERLY CONDUCT,01/06/2021 03:28:00 AM,21-002189,DISTURB THE PEACE,23X,3500 E 12TH ST,Oakland,CA,
HOMICIDE,01/19/2021 11:38:00 AM,21-002918,SC UNEXPLAINED DEATH,04X,1500 JACKSON ST,Oakland,CA,
OTHER,01/27/2021 01:25:00 PM,21-901809,MAIL/ETC THEFT/ETC,12X,4900 SHATTUCK AV,Oakland,CA,
STOLEN VEHICLE,01/10/2021 12:49:00 AM,21-001513,VEHICLE THEFT - AUTO,04X,400 17TH ST,Oakland,CA,
VANDALISM,12/14/2020 11:59:00 PM,20-920796,VANDALISM,13X,5700 GLENBROOK DR,Oakland,CA,
STOLEN VEHICLE,01/30/2021 05:00:00 AM,21-005559,VEHICLE THEFT - AUTO,23X,1200 39TH AV,Oakland,CA,
PETTY THEFT,01/14/2021 03:30:00 PM,21-002717,THEFT,29X,3600 LUNDHOLM AV,Oakland,CA,
WEAPONS,02/02/2021 06:28:00 AM,21-005131,VIOLATION PAROLE:FELONY,23X,1300 40TH AV,Oakland,CA,
VANDALISM,11/24/2020 10:50:00 AM,20-920467,VANDALISM,24X,4100 SANTA RITA ST,Oakland,CA,
VANDALISM,12/09/2020 08:30:00 PM,20-920548,VANDALISM,06X,800 37TH ST,Oakland,CA,
BURG - AUTO,01/17/2021 11:30:00 AM,21-900881,BURGLARY-AUTO,22Y,3000 JOAQUIN MILLER RD,Oakland,CA,
STOLEN VEHICLE,01/17/2021 08:00:00 PM,21-002801,VEHICLE THEFT - AUTO,13Y,6400 VALLEY VIEW RD,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,01/11/2021 01:49:00 AM,21-001676,POSSESS/ETC BURGLARY TOOLS,19X,2200 E12TH ST,Oakland,CA,
