"TOWED VEHICLE","2019-09-02 22:45:00","19-045587","ROBBERY-FIREARM","02Y","1100 CHESTER ST","Oakland","CA"
"THREATS","2019-09-04 09:00:00","19-045958","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","08X","600 23RD ST","Oakland","CA"
"ROBBERY","2019-09-04 21:40:00","19-046000","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","3400 E 12TH ST","Oakland","CA"
"ROBBERY","2019-09-07 08:35:00","19-046635","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","17Y","2500 10TH AV","Oakland","CA"
"DISORDERLY CONDUCT","2019-09-12 01:00:00","19-047553","ANNOYING TELEPHONE CALL:OBSCENE/THREATENING","18X","1700 19TH AV","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-14 17:45:00","19-047889","BATTERY","26Y","65TH AV & INTERNATIONAL BLVD","Oakland","CA"
"BURG - COMMERCIAL","2019-09-16 03:00:00","19-048191","BURGLARY-FORCIBLE ENTRY","26X","4600 E 12TH ST","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-16 15:17:00","19-048210","BATTERY","04X","600 W GRAND AV","Oakland","CA"
"PETTY THEFT","2019-09-18 12:22:00","19-048682","THEFT","09X","3600 BROADWAY","Oakland","CA"
"DOMESTIC VIOLENCE","2020-01-23 06:00:00","19-048981","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","30X","7300 WELD ST.","Oakland","CA"
"DOMESTIC VIOLENCE","2020-01-23 06:00:00","19-048981","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","30X","7300 WELD ST.","Oakland","CA"
"BURG - AUTO","2019-09-21 23:36:00","19-049114","BURGLARY-AUTO","08X","2300 WEBSTER ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 00:00:00","19-049124","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","08X","500 34TH ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 00:00:00","19-049124","VANDALISM:DAMAGE PROPERTY","08X","500 34TH ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 05:28:00","19-049148","EXHIBIT DEADLY WEAPON:SERIOUS BODILY INJURY INTENT","08X","26TH ST & VALDEZ ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 07:42:00","19-049156","ASSAULT WITH FIREARM ON PERSON","34X","1600 90TH AV","Oakland","CA"
"PETTY THEFT","2019-09-22 08:58:00","19-049342","THEFT","23X","4000 ALAMEDA AV","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-23 16:22:00","19-049592","BATTERY","28X","3100 HIGH ST","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-27 16:48:00","19-050468","BATTERY","14X","300 MACARTHUR BLVD","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-10-01 14:15:00","19-051138","BATTERY","03Y","1200 CLAY ST","Oakland","CA"
"CURFEW & LOITERING","2019-10-01 17:40:00","19-051167","TRESPASS:OCCUPY PROPERTY W/O CONSENT","02X","700 2ND ST","Oakland","CA"
"GRAND THEFT","2019-10-01 17:39:00","19-051170","SC GRAND THEFT","05X","1100 14TH ST","Oakland","CA"
"BURG - AUTO","2019-10-01 21:12:00","19-051191","BURGLARY-AUTO","03Y","500 9TH ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","CARRY LOAD F/ARM:PR FEL","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","FELON PURCHASE/ETC FIREARM:RESTRAINING ORDER","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","FELON/ADDICT/POSSESS/OWN/ETC FIREARM","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","MFG/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","OBTAIN/USE MINOR:FRAUDULENTLY OBTAIN CONTROLLED SUBSTANCE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","POSSESS CONTROLLED SUBSTANCE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","POSSESS CONTROLLED SUBSTANCE FOR SALE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","POSSESS MARIJUANA/HASHISH FOR SALE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","POSSESS/PURCHASE COCAINE BASE FOR SALE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION","24X","3700 NEVIL ST","Oakland","CA"
"STOLEN VEHICLE","2019-10-10 05:00:00","19-052778","VEHICLE THEFT - AUTO","17Y","3100 BEAUMONT AV","Oakland","CA"
"BURG - AUTO","2019-10-10 18:00:00","19-052888","BURGLARY-AUTO","31X","8400 EDGEWATER DR","Oakland","CA"
"STOLEN VEHICLE","2019-10-12 20:00:00","19-053253","VEHICLE THEFT - AUTO","32X","9800 HOLLY ST","Oakland","CA"
"PETTY THEFT","2019-10-11 19:53:00","19-053270","ATTEMPT THEFT","23X","1600 HIGH ST","Oakland","CA"
"FORCIBLE RAPE","2019-10-14 03:30:00","19-053482","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","06X","600 SYCAMORE ST","Oakland","CA"
"FORCIBLE RAPE","2019-10-14 03:30:00","19-053482","RAPE BY FORCE/FEAR/ETC","06X","600 SYCAMORE ST","Oakland","CA"
"HOMICIDE","2019-10-14 06:04:00","19-053488","SC UNEXPLAINED DEATH","02Y","1600 12TH ST","Oakland","CA"
"DOMESTIC VIOLENCE","2019-10-14 19:14:00","19-053606","CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC","34X","1700 90TH AV","Oakland","CA"
"DISORDERLY CONDUCT","2019-10-12 12:00:00","19-053815","FIGHT/CHALLENGE IN PUBLIC PLACE","26Y","1000 76TH AV","Oakland","CA"
"BURG - AUTO","2019-10-15 21:28:00","19-053831","BURGLARY-AUTO","04X","17TH ST & CLAY ST","Oakland","CA"
"OTHER","2019-10-15 15:17:00","19-053834","VIOLATION OF PROBATION-MISD","35X","2200 90TH AV","Oakland","CA"
"BURG - AUTO","2019-10-10 12:00:00","19-054126","BURGLARY-AUTO","29X","7000 MACARTHUR BLVD","Oakland","CA"
"NARCOTICS","2019-10-18 16:25:00","19-054381","POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE","02X","1600 8TH ST","Oakland","CA"
"NARCOTICS","2019-10-18 16:25:00","19-054381","TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE","02X","1600 8TH ST","Oakland","CA"
"STOLEN AND RECOVERED VEHICLE","2019-10-08 18:00:00","19-054431","SC STOLEN VEHICLE - AUTO","12Y","5200 LOCKSLEY AV","Oakland","CA"
"","2019-06-01 12:00:00","19-054668","SC GRAND THEFT","13X","5200 BROADWAY TER","Oakland","CA"
"STOLEN VEHICLE","2019-10-19 17:47:00","19-054700","VEHICLE THEFT - AUTO","31X","6600 COLISEUM WY","Oakland","CA"
